No,word,POST,Meaning,Amharic,"["""
338,antispasmodic,adj,Tending to prevent or relieve non-inflammatory spasmodic affections,የመንቀጥቀጥ መድሀኒት,
339,antistrophe,n,"The inversion of terms in successive classes, as in the home of joy"" and ""the joy of home""""",የቃላት መቀየር,
340,antitoxin,n,A substance which neutralizes the poisonous products of micro-organisms,ፀረ-መርዝ,
341,antonym,n,A word directly opposed to another in meaning,ተቃራኒ ቃል,
342,anxious,adj,Distressed in mind respecting some uncertain matter,ተጨንቆ,
343,apathy,n,Insensibility to emotion or passionate feeling,ግዴለሽነት,
344,aperture,n,Hole,ቀዳዳ,
345,apex,n,"The highest point, as of a mountain",ከፍተኛ ነጥብ,
346,aphorism,n,Proverb,ምሳሌ,
347,apiary,n,A place where bees are kept,የንብ ቤት,
348,apogee,n,The climax,ከፍተኛ ደረጃ,
349,apology,n,A disclaimer of intentional error or offense,ይቅርታ,
350,apostasy,n,A total departure from one's faith or religion,ከሃዲነት,
351,apostate,adj,FALSE,ከሃዲ,
352,apostle,n,Any messenger commissioned by or as by divine authority,ሐዋርያ,
353,apothecary,n,One who keeps drugs for sale and puts up prescriptions,ፋርማሲስት,
354,apotheosis,n,Deification,አምላክ ማድረግ,
355,appall,v,To fill with dismay or horror,ማስደንገጥ,
356,apparent,adj,Easily understood,ግልጽ,
357,apparition,n,Ghost,መንፈስ,
358,appease,v,"To soothe by quieting anger or indignation,,to soothe, calm, put at ease",ማረጋጋት,
359,appellate,adj,Capable of being appealed to,ይግባኝ የሚሰማ,
360,appellation,n,"The name or title by which a particular person, class, or thing is called",ስያሜ,
361,append,v,"To add or attach, as something accessory, subordinate, or supplementary",ማያያዝ,
362,appertain,v,"To belong, as by right, fitness, association, classification, possession, or natural relation",መግባት፣ መሆን,
363,apposite,adj,Appropriate,ተገቢ,
364,apposition,n,"The act of placing side by side, together, or in contact",አጠገብ ማድረግ,
365,appraise,v,To estimate the money value of,ዋጋ መገመት,
366,appreciable,adj,Capable of being discerned by the senses or intellect,የሚታወቅ,
367,apprehend,v,To make a prisoner of (a person) in the name of the law,መያዝ,
368,apprehensible,adj,Capable of being conceived,የሚረዳ,
369,apprise,v,"to notify, inform",ማሳወቅ,
370,approbation,n,Sanction,ማጽደቅ,
371,appropriate,adj,Suitable for the purpose and circumstances,ተገቢ,
372,aqueduct,n,"A water-conduit, particularly one for supplying a community from a distance",የውሃ ቧንቧ,
373,aqueous,adj,"Of, pertaining to, or containing water",ውሃ ያለው,
374,arbiter,n,"One chosen or appointed, by mutual consent of parties in dispute, to decide matters",ዳኛ,
375,arbitrary,adj,"Fixed or done capriciously,,random, by chance",በዘፈቀደ,
376,arbitrate,v,To act or give judgment as umpire,መሳልል,
377,arbor,n,A tree,ዛፍ,
378,arboreal,adj,Of or pertaining to a tree or trees,የዛፍ,
379,arborescent,adj,Having the nature of a tree,ዛፍ መሰል,
380,arboretum,n,A botanical garden or place devoted to the cultivation of trees or shrubs,የእጽዋት መካነ,
381,arboriculture,n,The cultivation of trees or shrubs,የዛፍ እርሻ,
382,arcade,n,"A vaulted passageway or street; a roofed passageway having shops, etc , opening from it",የተሸፈነ መንገድ,
383,archaeology,n,The branch of anthropology concerned with the systematic investigation of the relics of man,ሥነ-ቅርስ,
384,archaic,adj,"Antiquated,,outdated, obsolete, ancient",ጥንታዊ፣ ጊዜ ያለፈ,
385,archaism,n,Obsolescence,ጥንታዊ አገላለጽ,
386,archangel,n,An angel of high rank,ሊቀ መላእክት,
387,archbishop,n,"The chief of the bishops of an ecclesiastical province in the Greek, Roman, and Anglican church",ሊቀ ጳጳስ,
388,archdeacon,n,A high official administrator of the affairs of a diocese,ሊቀ ዲያቆን,
389,archetype,n,A prototype,መጀመሪያ ሞዴል,
390,archipelago,n,"Any large body of water studded with islands, or the islands collectively themselves",ደሴቶች ስብስብ,
391,ardent,adj,Burning with passion,ጉጉት ያለው,
392,ardor,n,Intensity of passion or affection,ጉጉት,
393,arduous,adj,"hard, difficult, exhausting",አስቸጋሪ፣ ደካማ,
394,arid,adj,Very dry,ደረቅ,
395,aristocracy,n,A hereditary nobility,መኳንንት,
396,aristocrat,n,A hereditary noble or one nearly connected with nobility,ባላባት,
397,armada,n,A fleet of war-vessels,የጦር መርከቦች,
398,armful,n,As much as can be held in the arm or arms,የእጅ መጠን,
399,armory,n,An arsenal,የጦር መሳሪያ ማከማቻ,
400,aroma,n,An agreeable odor,ጥሩ መዓዛ,
401,arraign,v,"To call into court, as a person indicted for crime, and demand whether he pleads guilty or not",ወደ ፍርድ ቤት መጥራት,
402,arrange,v,To put in definite or proper order,ማደራጀት,
403,arrangement,n,"The act of putting in proper order, or the state of being put in order",ዝግጅት,
404,arrant,adj,Notoriously bad,ዝነኛ መጥፎ,
405,arrear,n,Something overdue and unpaid,የዘገየ ክፍያ,
406,arrival,n,A coming to stopping-place or destination,መድረስ,
407,arrogant,adj,"Unduly or excessively proud, as of wealth, station, learning, etc",ትዕቢተኛ,
408,arrogate,v,"To take, demand, or claim, especially presumptuously or without reasons or grounds",ሳይፈቀድ መያዝ,
409,Artesian well,n,A very deep bored well water rises due to underground pressure,የአርቴዥያን ጉድጓድ,
410,artful,adj,Characterized by craft or cunning,ተንኮለኛ,
411,Arthurian,adj,"Pertaining to King Arthur, the real or legendary hero of British poetic story",የንጉሥ አርተር,
412,articulate,adj,"skillful in the use of language, well-spoken",ቃል በቃል የሚናገር,
413,artifice,n,Trickery,ተንኮል,
414,artless,adj,Ingenuous,ቀላል፣ ሰው ሰራሽ ያልሆነ,
415,ascendancy,n,the state of rising or ascending; domination,የበላይነት,
416,ascendant,adj,Dominant,የበላይ,
417,ascension,n,The act of rising,ዕርገት,
418,ascent,n,"A rising, soaring, or climbing",መውጣት,
419,ascertain,v,"to uncover and verify, to make certain",ማረጋገጥ,
420,ascetic,adj,"self-denying, devoted to simple and austere living,,Given to severe self-denial and practicing excessive abstinence and devotion",ራስን የሚገታ,
421,ascribe,v,To assign as a quality or attribute,መመደብ,
422,asexual,adj,Having no distinct sexual organs,ጾታ የሌለው,
423,ashen,adj,Pale,ሀመር ያለ,
424,askance,adv,With a side or indirect glance or meaning,በጎን በኩል መመልከት,
425,asperity,n,Harshness or roughness of temper,ሻካራነት,
426,aspirant,n,"One who seeks earnestly, as for advancement, honors, place",ተፎካካሪ,
427,aspiration,n,An earnest wish for that which is above one's present reach,ምኞት,
428,aspire,v,"To have an earnest desire, wish, or longing, as for something high and good, not yet attained",መመኘት,
429,assailant,n,One who attacks,አጥቂ,
430,assassin,n,"One who kills, or tries to kill, treacherously or secretly",ገዳይ,
431,assassinate,v,"To kill, as by surprise or secret assault, especially the killing of some eminent person",መግደል,
432,assassination,n,"Murderer, as by secret assault or treachery",ግድያ,
433,assay,n,The chemical analysis or testing of an alloy ore,ምርመራ,
434,assent,v,"To express agreement with a statement or matter of opinion,,agreement / to agree or consent",መስማማት,
435,assess,v,To determine the amount of (a tax or other sum to be paid),መገምገም,
436,assessor,n,An officer whose duty it is to assess taxes,ገምጋሚ,
437,assets,n_pl,"Property in general, regarded as applicable to the payment of debts",ንብረቶች,
438,assiduous,adj,"Diligent,,hard working, diligent",ትጉህ,
439,assignee,n,One who is appointed to act for another in the management of certain property and interests,ተኪ,
440,assimilate,v,To adapt,ማዋሃድ,
441,assonance,n,Resemblance or correspondence in sound,ተመሳሳይ ድምጽ,
442,assonant,adj,Having resemblance of sound,ተመሳሳይ ድምጽ ያለው,
443,assonate,v,"To accord in sound, especially vowel sound",ተመሳሳይ ድምጽ መስጠት,
444,assuage,v,"To cause to be less harsh, violent, or severe, as excitement, appetite, pain, or disease",ማስታገስ,
445,astringent,adj,Harsh in disposition or character,ጠበኛ,
446,astute,adj,"Keen in discernment,,smart, perceptive",አስተዋይ,
447,atheism,n,The denial of the existence of God,አምላክ አለመኖር እምነት,
448,athirst,adj,Wanting water,ጥም,
449,athwart,adv,From side to side,ከጎን ወደ ጎን,
450,atomizer,n,"An apparatus for reducing a liquid to a fine spray, as for disinfection, inhalation, etc",አቶሚዘር,
451,atone,v,To make amends for,ማካካስ,
452,atonement,n,"Amends, reparation, or expiation made from wrong or injury",ማካካሻ,
453,atrocious,adj,"Outrageously or wantonly wicked, criminal, vile, or cruel",ጭካኔ,
454,atrocity,n,Great cruelty or reckless wickedness,ጭካኔ,
455,attaché,n,A subordinate member of a diplomatic embassy,የዲፕሎማት አባል,
456,attest,v,"To certify as accurate, genuine, or true",ማረጋገጥ,
457,attorney-general,n,The chief law-officer of a government,ዋና አቃቤ ህግ,
458,auburn,adj,"Reddish-brown, said usually of the hair",ደማቅ ቡናማ (ፀጉር),
459,audacious,adj,Fearless,ደፋር,
460,audible,adj,Loud enough to be heard,የሚሰማ,
461,audition,n,The act or sensation of hearing,መስማት,
462,auditory,adj,Of or pertaining to hearing or the organs or sense of hearing,የመስማት,
463,augment,v,"To make bigger,,to increase in size, to swell",ማሳደግ,
464,augur,v,To predict,መተንበይ,
465,Augustinian,adj,"Pertaining to St Augustine, his doctrines, or the religious orders called after him",የአውግስጢኖስ,
466,aura,n,Pervasive psychic influence supposed to emanate from persons,አውራ,
467,aural,adj,Of or pertaining to the ear,የጆሮ,
468,auricle,n,One of the two chambers of the heart which receives the blood from the veins,የልብ ክፍል,
469,auricular,adj,"Of or pertaining to the ear, its auricle, or the sense of hearing",የጆሮ,
470,auriferous,adj,Containing gold,ወርቅ የያዘ,
471,aurora,n,A luminous phenomenon in the upper regions of the atmosphere,አውሮራ,
472,auspice,n,"favoring, protecting, or propitious influence or guidance",ድጋፍ,
473,auspicious,adj,"favorable, fortunate, boding well for the future",መልካም ምልክት,
474,austere,adj,"stark, severely simple,,Severely simple; unadorned",ጥብቅ,
475,autarchy,n,Unrestricted power,ፍጹም ሥልጣን,
476,authentic,adj,Of undisputed origin,እውነተኛ,
477,authenticity,n,"The state or quality of being genuine, or of the origin and authorship claimed",እውነተኛነት,
478,autobiography,n,The story of one's life written by himself,የህይወት ታሪክ,
479,autocracy,n,Absolute government,ፍጹም መንግሥት,
480,autocrat,n,Any one who claims or wields unrestricted or undisputed authority or influence,ፍጹም ገዥ,
481,autocratic,adj,"having total power, dictatorial",ፍጹም ሥልጣን ያለው,
482,automaton,n,Any living being whose actions are or appear to be involuntary or mechanical,ራስ-ሰር ማሽን,
483,autonomous,adj,Self-governing,ራስ-ገዥ,
484,autonomy,n,"Self-government,,independence",ራስ-ገዝነት,
485,autopsy,n,The examination of a dead body by dissection to ascertain the cause of death,የሬሳ ምርመራ,
486,autumnal,adj,Of or pertaining to autumn,የበልግ,
487,auxiliary,n,"One who or that which aids or helps, especially when regarded as subsidiary or accessory",ረዳት,
488,avalanche,n,"The fall or sliding of a mass of snow or ice down a mountain-slope, often bearing with it rock",የበረዶ መንሸራተት,
489,avarice,n,Passion for getting and keeping riches,ስግብግብነት,
490,avaricious,adj,greedy,ስግብግብ,
491,aver,v,To assert as a fact,ማረጋገጥ,
492,averse,adj,Reluctant,አላፈላጊ,
493,aversion,n,A mental condition of fixed opposition to or dislike of some particular thing,ጥላቻ,
494,avert,v,To turn away or aside,ማዞር,
495,aviary,n,A spacious cage or enclosure in which live birds are kept,የወፍ ቤት,
496,avidity,n,Greediness,ስግብግብነት,
497,avocation,n,Diversion,የትርፍ ጊዜ ሥራ,
498,avow,v,To declare openly,በግልጽ መናገር,
499,avuncular,adj,having the qualities of an uncle,የአጎት ባህሪ ያለው,
500,awaken,v,"To arouse, as emotion, interest, or the like",ማንቃት,
501,awry,"adj,adv","Out of the proper form, direction, or position",የተዛባ,
502,aye,adv,An expression of assent,አዎ (የስምምነት ቃል),
503,azalea,n,A flowering shrub,አዛሊያ (አበባ ቁጥቋጦ),
